"user_id","birthdate","gender","married","has_children","home_country","home_city","home_airport","home_airport_lat","home_airport_lon","sign_up_date","age","age_range"
"23557","1958-12-08","F","true","false","usa","new york","LGA","40.777","-73.872","2021-07-22","64 years 8 mons 15 days","55-64"
"94883","1972-03-16","F","true","false","usa","kansas city","MCI","39.297","-94.714","2022-02-07","51 years 5 mons 7 days","40-54"
"101486","1972-12-07","F","true","true","usa","tacoma","TCM","47.138","-122.476","2022-02-17","50 years 8 mons 16 days","40-54"
"101961","1980-09-14","F","true","false","usa","boston","BOS","42.364","-71.005","2022-02-17","42 years 11 mons 9 days","40-54"
"106907","1978-11-17","F","true","true","usa","miami","TNT","25.862","-80.897","2022-02-24","44 years 9 mons 6 days","40-54"
"118043","1972-05-04","F","false","true","usa","los angeles","LAX","33.942","-118.408","2022-03-10","51 years 3 mons 19 days","40-54"
"120851","1972-09-25","F","true","true","usa","santa ana","SNA","33.676","-117.868","2022-03-13","50 years 10 mons 28 days","40-54"
"125845","1983-12-01","F","true","false","usa","el paso","BIF","31.849","-106.38","2022-03-19","39 years 8 mons 22 days","26-39"
"133058","2005-04-07","F","false","false","usa","austin","AUS","30.194","-97.67","2022-03-27","18 years 4 mons 16 days","0-17"
"149058","1973-01-22","F","false","true","usa","birmingham","BHM","33.563","-86.753","2022-04-14","50 years 7 mons 1 day","40-54"
"152583","1986-07-26","F","false","false","usa","colorado springs","COS","38.806","-104.7","2022-04-17","37 years 28 days","26-39"
"153982","1978-08-15","F","false","true","canada","toronto","YKZ","43.862","-79.37","2022-04-19","45 years 8 days","40-54"
"160754","1977-12-06","F","true","true","usa","new york","LGA","40.777","-73.872","2022-04-26","45 years 8 mons 17 days","40-54"
"164522","1975-11-07","F","true","false","usa","kansas city","MCI","39.297","-94.714","2022-04-30","47 years 9 mons 16 days","40-54"
"167852","2006-02-16","F","false","false","usa","tampa","MCF","27.849","-82.521","2022-05-03","17 years 6 mons 7 days","0-17"
"171470","1999-09-14","F","false","false","usa","atlanta","ATL","33.64","-84.427","2022-05-06","23 years 11 mons 9 days","18-25"
"174997","1991-11-01","F","false","false","usa","grand rapids","GRR","42.881","-85.523","2022-05-10","31 years 9 mons 22 days","26-39"
"175032","1994-11-05","F","false","false","usa","houston","IAH","29.98","-95.34","2022-05-10","28 years 9 mons 18 days","26-39"
"181157","1970-08-10","F","true","false","usa","houston","HOU","29.645","-95.279","2022-05-15","53 years 13 days","40-54"
"182191","2004-09-27","F","false","true","usa","phoenix","PHX","33.434","-112.008","2022-05-16","18 years 10 mons 26 days","0-17"
"187212","1969-02-20","F","true","true","usa","los angeles","LAX","33.942","-118.408","2022-05-21","54 years 6 mons 3 days","40-54"
"189676","1988-01-10","F","false","true","usa","fort worth","FTW","32.82","-97.362","2022-05-23","35 years 7 mons 13 days","26-39"
"190866","1986-09-24","F","false","false","usa","tallahassee","TLH","30.396","-84.35","2022-05-24","36 years 10 mons 29 days","26-39"
"195192","1995-09-20","F","false","false","usa","chicago","MDW","41.786","-87.752","2022-05-28","27 years 11 mons 3 days","26-39"
"204943","1982-12-20","M","false","false","canada","ottawa","YOW","45.323","-75.669","2022-06-06","40 years 8 mons 3 days","26-39"
"204997","1985-08-26","F","true","false","usa","kansas city","MCI","39.297","-94.714","2022-06-06","37 years 11 mons 28 days","26-39"
"205044","1983-08-25","F","true","true","canada","toronto","YKZ","43.862","-79.37","2022-06-06","39 years 11 mons 29 days","26-39"
