user_id,sign_up_date,age,gender,married,has_children,home_country,home_city,age_group,segment_label
153982,2022-04-19,43,F,False,True,canada,toronto,35-49,Free checked bag
174997,2022-05-10,30,F,False,False,usa,grand rapids,19-34,Exclusive discounts
181157,2022-05-15,51,F,True,False,usa,houston,50-64,Free checked bag
189676,2022-05-23,34,F,False,True,usa,fort worth,19-34,Exclusive discounts
226367,2022-06-25,41,F,False,False,usa,washington,35-49,Free hotel meal
228872,2022-06-27,33,M,False,False,usa,san antonio,19-34,Free hotel meal
229108,2022-06-27,24,F,False,False,usa,burlington,19-34,Exclusive discounts
229330,2022-06-27,45,F,True,False,usa,colorado springs,35-49,Free hotel meal
249521,2022-07-15,57,F,True,True,canada,ottawa,50-64,Free checked bag
264470,2022-07-27,43,F,False,True,usa,bakersfield,35-49,Free checked bag
281952,2022-08-11,35,F,False,False,usa,louisville,35-49,Free checked bag
306165,2022-08-31,19,F,False,False,usa,cleveland,19-34,Exclusive discounts
306819,2022-09-01,58,F,True,True,usa,new york,50-64,No cancellation fees
312488,2022-09-05,29,M,True,False,usa,new york,19-34,Free checked bag
313724,2022-09-06,50,F,False,False,usa,tulsa,50-64,Exclusive discounts
316527,2022-09-08,40,F,True,True,canada,winnipeg,35-49,1-night free hotel with a flight
324191,2022-09-15,38,F,False,False,usa,san diego,35-49,1-night free hotel with a flight
328590,2022-09-18,54,F,False,False,usa,san diego,50-64,No cancellation fees
330764,2022-09-20,37,F,False,False,usa,detroit,35-49,Exclusive discounts
330893,2022-09-20,41,F,True,True,usa,oklahoma city,35-49,No cancellation fees
331039,2022-09-20,43,F,True,True,canada,london,35-49,Free hotel meal
334787,2022-09-23,51,F,False,False,usa,minneapolis,50-64,1-night free hotel with a flight
337227,2022-09-25,33,F,True,False,usa,santa ana,19-34,Free checked bag
340166,2022-09-27,49,M,True,True,usa,san francisco,35-49,Exclusive discounts
343928,2022-09-30,63,F,True,False,usa,el paso,50-64,Free checked bag
348817,2022-10-04,27,F,False,False,canada,calgary,19-34,1-night free hotel with a flight
348863,2022-10-04,65,F,True,False,usa,san antonio,65+,Exclusive discounts
349132,2022-10-04,47,F,False,False,usa,cincinnati,35-49,Free hotel meal
350648,2022-10-05,16,F,False,False,usa,lincoln,0-18,No cancellation fees
353271,2022-10-07,25,F,False,True,usa,milwaukee,19-34,Free checked bag
353694,2022-10-07,38,F,False,True,usa,new york,35-49,Free checked bag
354050,2022-10-07,48,F,False,False,usa,detroit,35-49,1-night free hotel with a flight
354260,2022-10-07,48,F,False,False,usa,providence,35-49,No cancellation fees
354311,2022-10-08,44,F,True,False,usa,tucson,35-49,Free checked bag
354950,2022-10-08,51,M,True,False,usa,amarillo,50-64,Free checked bag
356046,2022-10-09,32,F,False,False,canada,ottawa,19-34,1-night free hotel with a flight
359080,2022-10-11,40,F,True,False,usa,new york,35-49,Free checked bag
359653,2022-10-12,53,M,False,False,canada,victoria,50-64,1-night free hotel with a flight
363535,2022-10-14,29,F,False,False,usa,charlotte,19-34,Exclusive discounts
365825,2022-10-16,43,F,False,False,usa,los angeles,35-49,No cancellation fees
371201,2022-10-20,26,M,False,True,usa,new york,19-34,Free checked bag
372970,2022-10-21,32,F,False,False,usa,charlotte,19-34,Free checked bag
374331,2022-10-22,40,M,False,False,usa,milwaukee,35-49,Exclusive discounts
375751,2022-10-23,48,F,True,False,usa,cleveland,35-49,Exclusive discounts
376159,2022-10-23,40,F,False,False,usa,long beach,35-49,Free checked bag
377411,2022-10-24,36,F,True,False,canada,montreal,35-49,1-night free hotel with a flight
378565,2022-10-25,39,F,True,True,usa,nashville,35-49,Free checked bag
379543,2022-10-25,54,F,True,False,usa,san jose,50-64,1-night free hotel with a flight
380436,2022-10-26,42,F,False,False,usa,new york,35-49,No cancellation fees
380757,2022-10-26,44,F,False,True,usa,los angeles,35-49,1-night free hotel with a flight
380949,2022-10-26,44,F,False,False,usa,san antonio,35-49,Exclusive discounts
381259,2022-10-26,19,F,False,True,usa,san diego,19-34,Free checked bag
381465,2022-10-26,32,F,False,False,usa,san antonio,19-34,No cancellation fees
382181,2022-10-27,34,F,True,False,canada,halifax,19-34,1-night free hotel with a flight
382384,2022-10-27,55,F,True,False,usa,st. petersburg,50-64,Free hotel meal
382533,2022-10-27,16,F,False,False,usa,long beach,0-18,Exclusive discounts
385689,2022-10-29,48,F,False,True,usa,nashville,35-49,1-night free hotel with a flight
386255,2022-10-30,30,F,False,True,usa,mobile,19-34,Exclusive discounts
386469,2022-10-30,16,F,False,False,usa,stockton,0-18,Exclusive discounts
387282,2022-10-30,28,F,False,True,usa,amarillo,19-34,Free checked bag
387783,2022-10-31,52,M,True,True,usa,oakland,50-64,Exclusive discounts
388328,2022-10-31,48,F,True,True,canada,toronto,35-49,Free checked bag
388767,2022-10-31,43,F,True,True,usa,tallahassee,35-49,Free checked bag
388947,2022-10-31,38,M,False,False,usa,new york,35-49,Exclusive discounts
389662,2022-11-01,37,F,False,False,usa,fresno,35-49,1-night free hotel with a flight
389759,2022-11-01,31,F,False,True,usa,anchorage,19-34,Free checked bag
392453,2022-11-02,56,F,False,False,usa,el paso,50-64,No cancellation fees
395202,2022-11-04,25,F,False,False,usa,san jose,19-34,No cancellation fees
395981,2022-11-04,50,F,True,False,canada,vancouver,50-64,Free hotel meal
399137,2022-11-07,52,F,True,False,usa,dallas,50-64,Free hotel meal
399218,2022-11-07,42,F,True,True,usa,fort worth,35-49,No cancellation fees
400275,2022-11-07,54,F,True,True,usa,phoenix,50-64,Free checked bag
400582,2022-11-07,30,F,True,False,usa,chicago,19-34,1-night free hotel with a flight
400899,2022-11-08,44,F,True,False,canada,quebec,35-49,Free hotel meal
401245,2022-11-08,26,F,False,False,usa,omaha,19-34,Exclusive discounts
402332,2022-11-08,30,F,False,False,usa,sacramento,19-34,No cancellation fees
402978,2022-11-09,50,F,True,False,usa,milwaukee,50-64,Free checked bag
403881,2022-11-09,42,F,False,False,usa,san diego,35-49,1-night free hotel with a flight
404879,2022-11-10,37,F,True,False,usa,newark,35-49,1-night free hotel with a flight
406210,2022-11-11,19,F,False,True,usa,anchorage,19-34,Free checked bag
407118,2022-11-11,50,F,True,False,usa,new york,50-64,Free checked bag
407250,2022-11-11,35,F,False,False,usa,laredo,35-49,1-night free hotel with a flight
407275,2022-11-11,40,F,False,False,usa,philadelphia,35-49,1-night free hotel with a flight
407434,2022-11-11,51,F,True,True,canada,halifax,50-64,No cancellation fees
407642,2022-11-11,28,F,False,False,canada,hamilton,19-34,1-night free hotel with a flight
408551,2022-11-12,42,F,True,True,usa,chicago,35-49,Free hotel meal
409073,2022-11-12,41,F,True,False,usa,sacramento,35-49,1-night free hotel with a flight
411179,2022-11-14,49,F,False,False,usa,san jose,35-49,Exclusive discounts
411701,2022-11-14,38,F,False,False,canada,calgary,35-49,1-night free hotel with a flight
413340,2022-11-15,46,F,True,True,usa,nashville,35-49,Free checked bag
413418,2022-11-15,53,F,False,False,usa,knoxville,50-64,Free hotel meal
415282,2022-11-16,40,F,True,True,usa,portland,35-49,No cancellation fees
415381,2022-11-16,44,F,True,False,usa,chicago,35-49,Free hotel meal
415581,2022-11-16,40,F,True,False,usa,new york,35-49,1-night free hotel with a flight
416580,2022-11-16,42,F,False,False,usa,fort worth,35-49,No cancellation fees
417679,2022-11-17,36,F,False,False,usa,new york,35-49,1-night free hotel with a flight
418329,2022-11-17,48,M,False,True,usa,detroit,35-49,Free checked bag
418488,2022-11-17,37,F,True,False,canada,toronto,35-49,Exclusive discounts
420648,2022-11-18,51,F,True,True,usa,portland,50-64,Free checked bag
421247,2022-11-19,40,F,True,True,usa,memphis,35-49,1-night free hotel with a flight
421515,2022-11-19,29,F,False,False,canada,winnipeg,19-34,Exclusive discounts
421666,2022-11-19,28,F,False,True,usa,washington,19-34,No cancellation fees
421700,2022-11-19,39,F,False,True,usa,richmond,35-49,Exclusive discounts
422066,2022-11-19,54,F,True,True,usa,cincinnati,50-64,Free checked bag
422668,2022-11-20,16,F,False,False,usa,houston,0-18,Exclusive discounts
423042,2022-11-20,41,F,False,True,canada,ottawa,35-49,1-night free hotel with a flight
424553,2022-11-21,47,F,True,False,usa,oklahoma city,35-49,Exclusive discounts
425632,2022-11-21,44,F,True,False,usa,tampa,35-49,No cancellation fees
425653,2022-11-21,18,M,False,True,usa,portland,0-18,Free checked bag
425953,2022-11-22,36,F,True,False,usa,nashville,35-49,1-night free hotel with a flight
425966,2022-11-22,54,F,True,False,usa,las vegas,50-64,Free hotel meal
427426,2022-11-22,35,F,False,False,usa,san diego,35-49,Exclusive discounts
428056,2022-11-23,36,M,False,False,canada,vancouver,35-49,1-night free hotel with a flight
428552,2022-11-23,35,F,True,False,usa,new york,35-49,1-night free hotel with a flight
428858,2022-11-23,19,F,False,False,usa,san diego,19-34,Free checked bag
429345,2022-11-23,64,M,True,True,usa,tallahassee,50-64,Exclusive discounts
429375,2022-11-23,32,F,False,False,usa,new york,19-34,No cancellation fees
431144,2022-11-24,50,F,True,False,usa,cincinnati,50-64,Exclusive discounts
431337,2022-11-24,36,F,False,False,usa,miami,35-49,1-night free hotel with a flight
431602,2022-11-25,35,F,False,False,usa,tacoma,35-49,Exclusive discounts
431746,2022-11-25,39,F,False,False,usa,des moines,35-49,Free hotel meal
431899,2022-11-25,42,F,True,False,usa,seattle,35-49,No cancellation fees
431912,2022-11-25,34,F,False,True,usa,detroit,19-34,Free hotel meal
432333,2022-11-25,48,F,True,True,usa,milwaukee,35-49,Free hotel meal
432637,2022-11-25,35,F,False,True,usa,san antonio,35-49,1-night free hotel with a flight
432941,2022-11-25,39,F,False,False,usa,anchorage,35-49,Free checked bag
433080,2022-11-26,42,F,True,False,usa,colorado springs,35-49,1-night free hotel with a flight
433339,2022-11-26,24,F,False,True,usa,detroit,19-34,Free checked bag
433905,2022-11-26,24,F,False,False,usa,new york,19-34,1-night free hotel with a flight
434238,2022-11-26,48,F,True,True,usa,indianapolis,35-49,No cancellation fees
435231,2022-11-27,29,F,False,False,canada,toronto,19-34,1-night free hotel with a flight
435596,2022-11-27,51,F,False,False,usa,houston,50-64,Exclusive discounts
435669,2022-11-27,43,F,False,True,usa,tampa,35-49,1-night free hotel with a flight
435837,2022-11-27,50,F,False,False,usa,new orleans,50-64,Free checked bag
435882,2022-11-27,50,F,True,False,usa,washington,50-64,Exclusive discounts
436320,2022-11-27,48,F,True,True,usa,milwaukee,35-49,1-night free hotel with a flight
436894,2022-11-28,40,F,True,False,usa,louisville,35-49,Exclusive discounts
437069,2022-11-28,41,F,False,False,usa,tucson,35-49,1-night free hotel with a flight
437162,2022-11-28,29,F,False,False,usa,madison,19-34,Exclusive discounts
437251,2022-11-28,42,F,False,False,canada,london,35-49,1-night free hotel with a flight
437539,2022-11-28,44,F,False,False,usa,nashville,35-49,1-night free hotel with a flight
437549,2022-11-28,38,F,False,False,usa,new orleans,35-49,1-night free hotel with a flight
438189,2022-11-28,35,F,True,False,usa,fort worth,35-49,1-night free hotel with a flight
438406,2022-11-28,42,F,False,False,usa,los angeles,35-49,Free hotel meal
438596,2022-11-29,22,F,False,False,usa,oklahoma city,19-34,Exclusive discounts
438839,2022-11-29,48,F,False,True,usa,new york,35-49,Exclusive discounts
438937,2022-11-29,36,F,False,False,usa,sacramento,35-49,No cancellation fees
438985,2022-11-29,28,F,False,False,usa,new york,19-34,Free checked bag
438995,2022-11-29,22,F,False,False,usa,tallahassee,19-34,Exclusive discounts
439052,2022-11-29,50,F,True,False,usa,richmond,50-64,Free checked bag
439120,2022-11-29,37,M,True,False,usa,tulsa,35-49,Exclusive discounts
439363,2022-11-29,50,F,False,False,usa,fort worth,50-64,1-night free hotel with a flight
440212,2022-11-29,37,F,True,True,usa,winston-salem,35-49,Free hotel meal
440655,2022-11-30,29,F,False,True,canada,toronto,19-34,1-night free hotel with a flight
441200,2022-11-30,34,F,False,True,canada,ottawa,19-34,Free checked bag
441205,2022-11-30,45,F,True,True,usa,san antonio,35-49,Free hotel meal
441448,2022-11-30,27,F,False,True,usa,san antonio,19-34,Free checked bag
441457,2022-11-30,57,F,True,False,usa,washington,50-64,Free hotel meal
441982,2022-11-30,46,F,False,False,usa,new york,35-49,No cancellation fees
442484,2022-12-01,42,F,True,False,usa,houston,35-49,Exclusive discounts
442718,2022-12-01,47,F,True,True,usa,new york,35-49,Free hotel meal
442812,2022-12-01,53,F,True,True,usa,boston,50-64,Free hotel meal
442819,2022-12-01,70,F,True,False,canada,ottawa,65+,Free checked bag
442833,2022-12-01,38,F,True,False,canada,calgary,35-49,1-night free hotel with a flight
443305,2022-12-01,20,F,False,False,usa,chicago,19-34,Free checked bag
443453,2022-12-01,35,F,False,False,usa,seattle,35-49,1-night free hotel with a flight
443598,2022-12-01,42,F,False,False,usa,honolulu,35-49,Free checked bag
443652,2022-12-01,29,F,False,False,usa,seattle,19-34,1-night free hotel with a flight
444387,2022-12-02,44,F,True,False,usa,cincinnati,35-49,1-night free hotel with a flight
444885,2022-12-02,31,F,True,False,usa,amarillo,19-34,Free checked bag
445351,2022-12-02,52,F,True,True,usa,des moines,50-64,1-night free hotel with a flight
445515,2022-12-02,38,F,False,False,canada,toronto,35-49,Free checked bag
446124,2022-12-02,43,F,False,False,usa,new york,35-49,1-night free hotel with a flight
446138,2022-12-02,38,F,True,False,usa,houston,35-49,Exclusive discounts
446473,2022-12-03,47,F,True,False,usa,san diego,35-49,Exclusive discounts
446933,2022-12-03,45,M,False,False,canada,toronto,35-49,1-night free hotel with a flight
447053,2022-12-03,36,F,False,True,usa,riverside,35-49,Free checked bag
447591,2022-12-03,21,M,False,False,canada,winnipeg,19-34,1-night free hotel with a flight
447737,2022-12-03,40,F,False,False,canada,calgary,35-49,1-night free hotel with a flight
447951,2022-12-03,41,F,False,False,usa,columbus,35-49,Free hotel meal
448025,2022-12-03,28,F,False,False,canada,montreal,19-34,Free checked bag
448154,2022-12-04,54,F,False,False,usa,los angeles,50-64,Free hotel meal
448295,2022-12-04,50,M,True,False,usa,lubbock,50-64,1-night free hotel with a flight
448467,2022-12-04,36,F,False,False,canada,halifax,35-49,Exclusive discounts
448564,2022-12-04,47,F,False,False,usa,colorado springs,35-49,1-night free hotel with a flight
449033,2022-12-04,39,F,False,False,usa,san diego,35-49,1-night free hotel with a flight
449326,2022-12-04,37,F,False,False,canada,halifax,35-49,Free checked bag
449619,2022-12-04,34,F,False,False,usa,cleveland,19-34,Free checked bag
449804,2022-12-04,40,F,True,False,usa,tacoma,35-49,Free checked bag
449980,2022-12-05,16,F,False,False,canada,winnipeg,0-18,No cancellation fees
450164,2022-12-05,35,F,True,False,usa,phoenix,35-49,1-night free hotel with a flight
450193,2022-12-05,33,F,False,False,canada,montreal,19-34,1-night free hotel with a flight
450305,2022-12-05,37,F,False,False,usa,fayetteville,35-49,1-night free hotel with a flight
450615,2022-12-05,42,F,False,False,usa,kansas city,35-49,1-night free hotel with a flight
451291,2022-12-05,53,F,True,False,usa,st. louis,50-64,Free checked bag
451674,2022-12-05,23,F,False,True,usa,san francisco,19-34,Exclusive discounts
452034,2022-12-06,48,F,False,False,usa,cleveland,35-49,No cancellation fees
452532,2022-12-06,31,F,False,False,usa,el paso,19-34,Exclusive discounts
452594,2022-12-06,42,F,False,True,usa,las vegas,35-49,1-night free hotel with a flight
452612,2022-12-06,41,F,True,True,usa,rochester,35-49,No cancellation fees
453143,2022-12-06,44,F,False,False,usa,houston,35-49,1-night free hotel with a flight
453168,2022-12-06,45,F,True,False,usa,new york,35-49,1-night free hotel with a flight
454264,2022-12-07,47,F,False,True,usa,new york,35-49,Free checked bag
454430,2022-12-07,37,F,True,False,canada,vancouver,35-49,Free hotel meal
454616,2022-12-07,43,F,True,False,usa,los angeles,35-49,Free checked bag
454661,2022-12-07,44,F,False,False,usa,louisville,35-49,1-night free hotel with a flight
454920,2022-12-07,36,F,True,False,usa,new york,35-49,1-night free hotel with a flight
454934,2022-12-07,40,F,True,False,usa,tacoma,35-49,No cancellation fees
454955,2022-12-07,49,F,True,False,usa,san diego,35-49,Free hotel meal
456226,2022-12-08,46,F,False,False,usa,houston,35-49,Free checked bag
456318,2022-12-08,29,F,False,False,usa,los angeles,19-34,1-night free hotel with a flight
456663,2022-12-08,36,F,True,True,usa,new york,35-49,1-night free hotel with a flight
456671,2022-12-08,36,F,False,False,usa,san antonio,35-49,1-night free hotel with a flight
457468,2022-12-08,39,F,True,False,usa,phoenix,35-49,Free hotel meal
457599,2022-12-08,38,F,True,False,usa,columbus,35-49,1-night free hotel with a flight
457967,2022-12-09,19,F,False,False,usa,colorado springs,19-34,Exclusive discounts
458688,2022-12-09,41,F,False,False,usa,cleveland,35-49,No cancellation fees
458725,2022-12-09,16,F,False,False,usa,montgomery,0-18,Exclusive discounts
458762,2022-12-09,38,F,True,True,canada,montreal,35-49,Free checked bag
458814,2022-12-09,31,F,False,False,usa,oklahoma city,19-34,Exclusive discounts
458855,2022-12-09,29,F,True,True,usa,tucson,19-34,1-night free hotel with a flight
458919,2022-12-09,35,F,False,False,usa,fresno,35-49,Free checked bag
459229,2022-12-09,40,F,True,False,usa,new york,35-49,Exclusive discounts
459486,2022-12-09,27,F,False,False,usa,st. petersburg,19-34,No cancellation fees
459645,2022-12-09,28,F,False,False,usa,wichita,19-34,Free hotel meal
460072,2022-12-10,47,M,False,False,usa,kansas city,35-49,Exclusive discounts
460181,2022-12-10,64,F,True,False,usa,st. louis,50-64,Free hotel meal
460553,2022-12-10,53,F,True,True,usa,laredo,50-64,Free checked bag
460625,2022-12-10,45,F,True,True,usa,baltimore,35-49,No cancellation fees
461559,2022-12-10,31,F,False,False,canada,victoria,19-34,1-night free hotel with a flight
461744,2022-12-11,29,F,False,False,usa,new york,19-34,No cancellation fees
461791,2022-12-11,49,F,True,True,usa,boston,35-49,Free checked bag
462127,2022-12-11,39,F,True,False,usa,houston,35-49,Free checked bag
462456,2022-12-11,38,F,False,True,canada,toronto,35-49,1-night free hotel with a flight
462894,2022-12-11,50,F,False,False,usa,columbus,50-64,Free hotel meal
463652,2022-12-12,36,F,True,False,canada,montreal,35-49,No cancellation fees
463698,2022-12-12,36,F,False,False,usa,atlanta,35-49,1-night free hotel with a flight
463783,2022-12-12,48,F,False,False,usa,st. louis,35-49,1-night free hotel with a flight
463867,2022-12-12,30,F,False,False,usa,detroit,19-34,1-night free hotel with a flight
463910,2022-12-12,42,F,False,False,usa,phoenix,35-49,1-night free hotel with a flight
464080,2022-12-12,69,F,True,False,canada,quebec,65+,Free hotel meal
464160,2022-12-12,47,F,True,True,usa,los angeles,35-49,Free checked bag
464239,2022-12-12,47,F,False,False,usa,columbus,35-49,Exclusive discounts
464542,2022-12-12,23,F,False,True,canada,toronto,19-34,Exclusive discounts
464597,2022-12-12,58,F,True,True,usa,richmond,50-64,Free hotel meal
464614,2022-12-12,36,F,False,False,canada,calgary,35-49,No cancellation fees
464673,2022-12-12,48,M,True,True,usa,louisville,35-49,Free hotel meal
464782,2022-12-12,46,F,True,True,usa,boston,35-49,1-night free hotel with a flight
465138,2022-12-12,35,F,False,False,usa,birmingham,35-49,1-night free hotel with a flight
465343,2022-12-12,51,F,True,True,usa,los angeles,50-64,Free checked bag
465531,2022-12-12,32,F,True,False,usa,newark,19-34,No cancellation fees
465568,2022-12-12,48,F,True,True,usa,el paso,35-49,Exclusive discounts
465731,2022-12-13,54,F,False,False,usa,phoenix,50-64,Exclusive discounts
466205,2022-12-13,37,F,True,True,usa,new york,35-49,Free checked bag
466342,2022-12-13,16,M,False,False,canada,montreal,0-18,1-night free hotel with a flight
466723,2022-12-13,38,F,True,False,usa,louisville,35-49,No cancellation fees
467007,2022-12-13,47,M,True,True,usa,riverside,35-49,Free checked bag
467092,2022-12-13,16,F,False,True,usa,los angeles,0-18,No cancellation fees
467339,2022-12-13,41,F,False,True,usa,san diego,35-49,Free hotel meal
467809,2022-12-14,45,F,False,True,usa,reno,35-49,No cancellation fees
467892,2022-12-14,30,F,False,False,usa,new york,19-34,No cancellation fees
468106,2022-12-14,43,F,False,False,usa,new york,35-49,1-night free hotel with a flight
468370,2022-12-14,31,F,False,False,usa,philadelphia,19-34,1-night free hotel with a flight
468409,2022-12-14,48,F,True,False,usa,jacksonville,35-49,Exclusive discounts
468801,2022-12-14,42,F,True,True,usa,dallas,35-49,No cancellation fees
468808,2022-12-14,44,F,False,True,canada,windsor,35-49,1-night free hotel with a flight
468832,2022-12-14,36,F,True,False,canada,montreal,35-49,1-night free hotel with a flight
469237,2022-12-14,16,F,False,True,usa,new york,0-18,Free checked bag
469418,2022-12-14,24,F,True,True,usa,san francisco,19-34,Free checked bag
469440,2022-12-14,43,F,True,True,usa,los angeles,35-49,No cancellation fees
469464,2022-12-14,45,F,True,False,usa,mobile,35-49,Free hotel meal
469699,2022-12-15,53,F,True,True,usa,new york,50-64,Free hotel meal
469767,2022-12-15,46,F,True,False,usa,new york,35-49,1-night free hotel with a flight
469824,2022-12-15,50,F,False,False,usa,los angeles,50-64,Free hotel meal
471077,2022-12-15,55,F,True,False,usa,louisville,50-64,1-night free hotel with a flight
471161,2022-12-15,39,F,False,False,usa,houston,35-49,Free hotel meal
471186,2022-12-15,48,F,True,False,usa,los angeles,35-49,No cancellation fees
471500,2022-12-15,25,F,False,True,usa,houston,19-34,1-night free hotel with a flight
471565,2022-12-15,29,F,False,True,usa,nashville,19-34,Free checked bag
471649,2022-12-16,46,F,True,True,usa,fort worth,35-49,Free checked bag
471687,2022-12-16,39,F,True,False,usa,los angeles,35-49,1-night free hotel with a flight
471717,2022-12-16,44,F,True,True,usa,phoenix,35-49,1-night free hotel with a flight
471935,2022-12-16,46,F,True,False,usa,laredo,35-49,1-night free hotel with a flight
471946,2022-12-16,43,F,True,True,usa,santa ana,35-49,No cancellation fees
471973,2022-12-16,35,F,False,True,usa,sacramento,35-49,Exclusive discounts
472394,2022-12-16,41,F,False,False,usa,tucson,35-49,Free hotel meal
472446,2022-12-16,16,F,False,False,canada,toronto,0-18,1-night free hotel with a flight
472614,2022-12-16,38,F,False,False,canada,toronto,35-49,1-night free hotel with a flight
472713,2022-12-16,39,F,True,True,usa,nashville,35-49,Exclusive discounts
472785,2022-12-16,44,M,False,False,canada,toronto,35-49,Free checked bag
472966,2022-12-16,35,F,True,False,usa,oakland,35-49,1-night free hotel with a flight
473332,2022-12-16,48,F,True,False,usa,los angeles,35-49,Exclusive discounts
473343,2022-12-16,46,F,True,False,usa,kansas city,35-49,Free hotel meal
473402,2022-12-16,40,F,True,False,usa,los angeles,35-49,Free checked bag
